City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
144,bulgan,0,MN,1517354797,63,48.81,103.53,-2.58,9.62
145,kuusamo,90,FI,1517352600,85,65.96,29.19,21.2,2.24
146,shenjiamen,92,CN,1517354801,100,29.96,122.3,42.88,16.11
147,calatayud,0,ES,1517353200,81,41.35,-1.64,42.8,5.82
148,gizo,20,IL,1517352600,93,31.8,34.94,48.2,3.36
149,celestun,48,MX,1517354688,100,20.87,-90.4,71.81,25.39
150,saint-philippe,90,CA,1517354100,72,45.36,-73.48,17.6,3.36
151,nicoya,20,CR,1517353200,55,10.15,-85.45,86.0,26.4
152,bredasdorp,12,ZA,1517353200,68,-34.53,20.04,68.0,9.17
153,san felipe,0,CL,1517353200,32,-32.75,-70.73,80.6,13.87
154,edson,1,CA,1517349600,85,53.59,-116.44,17.6,4.7
155,springdale,5,US,1517353080,29,36.19,-94.13,48.2,11.41
156,ibra,12,OM,1517354815,92,22.69,58.55,53.59,2.24
157,santa rosa,0,AR,1517354818,18,-36.62,-64.29,80.68,9.06
158,sioux lookout,90,CA,1517352060,84,50.1,-91.92,10.4,13.87
159,kontagora,0,NG,1517354820,33,10.4,5.47,69.07,12.41
160,shalazhi,32,RU,1517354821,80,43.1,45.36,26.68,1.68
161,vaini,0,IN,1517354824,53,15.34,74.49,58.49,6.15
162,krzeszowice,75,PL,1517353200,64,50.13,19.63,37.4,9.17
163,tigil,64,RU,1517354827,84,57.8,158.67,33.88,14.54
164,yellowknife,40,CA,1517349600,69,62.45,-114.38,-9.41,16.11
165,luwingu,92,ZM,1517354829,96,-10.26,29.92,61.51,4.36
166,salym,8,RU,1517354830,76,60.06,71.48,3.14,6.38
167,hay river,75,CA,1517349600,76,60.82,-115.79,-9.41,10.29
168,razole,0,IN,1517354831,100,16.48,81.84,75.91,5.14
169,silvassa,0,IN,1517354831,73,20.27,73.0,54.67,2.57
170,yinchuan,0,CN,1517354832,60,38.48,106.21,-15.36,2.57
171,tierralta,12,CO,1517354832,71,8.17,-76.06,81.89,7.49
172,port-gentil,40,GA,1517353200,83,-0.72,8.78,82.4,4.7
173,roros,48,NO,1517352600,84,62.57,11.38,8.6,5.82
174,little current,1,CA,1517349600,65,45.98,-81.93,8.6,8.05
175,sao joao da barra,92,BR,1517354836,100,-21.64,-41.05,72.26,14.76
176,coihaique,40,CL,1517353200,60,-45.58,-72.07,51.8,11.41
177,souillac,90,FR,1517353200,76,45.6,-0.6,48.2,4.7
178,beloha,56,MG,1517354838,98,-25.17,45.06,69.11,4.59
179,changying,0,CN,1517354839,64,52.87,123.32,-15.22,5.03
180,barrow,0,AR,1517354578,48,-38.31,-60.23,69.97,17.11
181,qaanaaq,24,GL,1517354839,100,77.48,-69.36,-17.97,6.38
182,chingirlau,0,KZ,1517354840,77,51.09,54.08,-3.57,10.07
183,buin,0,CL,1517353200,32,-33.73,-70.74,82.4,8.05
184,gao,32,ML,1517354841,69,16.28,-0.04,64.88,8.95
185,naze,24,NG,1517353200,73,5.43,7.07,73.4,6.71
186,havelock,1,US,1517353080,44,34.88,-76.9,39.2,11.41
187,daru,0,SL,1517354842,53,7.99,-10.85,77.44,4.36
188,vardo,40,US,1517354100,49,39.62,-77.74,28.4,23.04
189,george,8,NG,1517353200,88,6.63,3.35,80.6,2.24
190,okhotsk,76,RU,1517354844,81,59.36,143.24,25.01,26.73
191,kavaratti,0,IN,1517354844,100,10.57,72.64,81.85,9.73
192,castro,76,CL,1517354845,77,-42.48,-73.76,53.86,5.59
193,hamilton,90,BM,1517352900,87,32.3,-64.78,60.8,21.92
194,juatuba,75,BR,1517353200,94,-19.95,-44.34,68.0,5.82
195,pemberton,12,AU,1517354847,60,-34.44,116.03,65.83,14.99
196,lompoc,1,US,1517352960,30,34.64,-120.46,78.8,11.41
197,viedma,0,AR,1517354847,26,-40.81,-62.99,67.54,7.72
198,tasiilaq,88,GL,1517352600,92,65.61,-37.64,24.8,2.24
199,narsaq,0,GL,1517352600,68,60.91,-46.05,24.8,5.82
200,aklavik,90,CA,1517349600,75,68.22,-135.01,-13.01,3.36
201,pringsewu,0,ID,1517354850,90,-5.36,104.98,73.93,2.68
202,gat,0,SN,1517354850,47,14.69,-16.54,65.65,13.65
203,muncar,32,ID,1517354851,100,-8.43,114.34,78.11,4.25
204,bubaque,0,GW,1517353200,38,11.28,-15.83,75.2,5.82
205,sitka,0,US,1517354852,23,37.17,-99.65,61.87,15.43
206,asyut,0,EG,1517349600,93,27.18,31.19,48.2,11.41
207,leningradskiy,0,RU,1517354853,81,69.38,178.42,15.83,9.62
208,ribeira grande,24,PT,1517354854,100,38.52,-28.7,59.35,10.74
